epoch,sample_idx,x1,x2,bias,w1,w2,w_bias,weighted_sum,predicted_output,expected_output,error,weight_updated,converged
1,1,0,0,1,-0.4514,0.4105,0.339,0.339,1,0,-1,True,False
1,2,0,1,1,-0.4514,0.4105,0.239,0.6495,1,0,-1,True,False
1,3,1,0,1,-0.4514,0.3105,0.139,-0.3125,0,0,0,False,False
1,4,1,1,1,-0.4514,0.3105,0.139,-0.0019,0,1,1,True,False
2,1,0,0,1,-0.3514,0.4105,0.239,0.239,1,0,-1,True,False
2,2,0,1,1,-0.3514,0.4105,0.139,0.5495,1,0,-1,True,False
2,3,1,0,1,-0.3514,0.3105,0.039,-0.3125,0,0,0,False,False
2,4,1,1,1,-0.3514,0.3105,0.039,-0.0019,0,1,1,True,False
3,1,0,0,1,-0.2514,0.4105,0.139,0.139,1,0,-1,True,False
3,2,0,1,1,-0.2514,0.4105,0.039,0.4495,1,0,-1,True,False
3,3,1,0,1,-0.2514,0.3105,-0.061,-0.3125,0,0,0,False,False
3,4,1,1,1,-0.2514,0.3105,-0.061,-0.0019,0,1,1,True,False
4,1,0,0,1,-0.1514,0.4105,0.039,0.039,1,0,-1,True,False
4,2,0,1,1,-0.1514,0.4105,-0.061,0.3495,1,0,-1,True,False
4,3,1,0,1,-0.1514,0.3105,-0.161,-0.3125,0,0,0,False,False
4,4,1,1,1,-0.1514,0.3105,-0.161,-0.0019,0,1,1,True,False
5,1,0,0,1,-0.0514,0.4105,-0.061,-0.061,0,0,0,False,False
5,2,0,1,1,-0.0514,0.4105,-0.061,0.3495,1,0,-1,True,False
5,3,1,0,1,-0.0514,0.3105,-0.161,-0.2125,0,0,0,False,False
5,4,1,1,1,-0.0514,0.3105,-0.161,0.0981,1,1,0,False,False
6,1,0,0,1,-0.0514,0.3105,-0.161,-0.161,0,0,0,False,False
6,2,0,1,1,-0.0514,0.3105,-0.161,0.1495,1,0,-1,True,False
6,3,1,0,1,-0.0514,0.2105,-0.261,-0.3125,0,0,0,False,False
6,4,1,1,1,-0.0514,0.2105,-0.261,-0.1019,0,1,1,True,False
7,1,0,0,1,0.0486,0.3105,-0.161,-0.161,0,0,0,False,False
7,2,0,1,1,0.0486,0.3105,-0.161,0.1495,1,0,-1,True,False
7,3,1,0,1,0.0486,0.2105,-0.261,-0.2125,0,0,0,False,False
7,4,1,1,1,0.0486,0.2105,-0.261,-0.0019,0,1,1,True,False
8,1,0,0,1,0.1486,0.3105,-0.161,-0.161,0,0,0,False,False
8,2,0,1,1,0.1486,0.3105,-0.161,0.1495,1,0,-1,True,False
8,3,1,0,1,0.1486,0.2105,-0.261,-0.1125,0,0,0,False,False
8,4,1,1,1,0.1486,0.2105,-0.261,0.0981,1,1,0,False,False
9,1,0,0,1,0.1486,0.2105,-0.261,-0.261,0,0,0,False,True
9,2,0,1,1,0.1486,0.2105,-0.261,-0.0505,0,0,0,False,True
9,3,1,0,1,0.1486,0.2105,-0.261,-0.1125,0,0,0,False,True
9,4,1,1,1,0.1486,0.2105,-0.261,0.0981,1,1,0,False,True
