epoch,sample_idx,x1,x2,bias,w1,w2,w_bias,weighted_sum,predicted_output,expected_output,error,weight_updated,converged
1,1,0,0,1,0.3282,-0.2951,0.1821,0.1821,1,0,-1,True,False
1,2,0,1,1,0.3282,-0.2951,0.0821,-0.2131,0,1,1,True,False
1,3,1,0,1,0.3282,-0.1951,0.1821,0.5103,1,1,0,False,False
1,4,1,1,1,0.3282,-0.1951,0.1821,0.3152,1,1,0,False,False
2,1,0,0,1,0.3282,-0.1951,0.1821,0.1821,1,0,-1,True,False
2,2,0,1,1,0.3282,-0.1951,0.0821,-0.1131,0,1,1,True,False
2,3,1,0,1,0.3282,-0.0951,0.1821,0.5103,1,1,0,False,False
2,4,1,1,1,0.3282,-0.0951,0.1821,0.4152,1,1,0,False,False
3,1,0,0,1,0.3282,-0.0951,0.1821,0.1821,1,0,-1,True,False
3,2,0,1,1,0.3282,-0.0951,0.0821,-0.0131,0,1,1,True,False
3,3,1,0,1,0.3282,0.0049,0.1821,0.5103,1,1,0,False,False
3,4,1,1,1,0.3282,0.0049,0.1821,0.5152,1,1,0,False,False
4,1,0,0,1,0.3282,0.0049,0.1821,0.1821,1,0,-1,True,False
4,2,0,1,1,0.3282,0.0049,0.0821,0.0869,1,1,0,False,False
4,3,1,0,1,0.3282,0.0049,0.0821,0.4103,1,1,0,False,False
4,4,1,1,1,0.3282,0.0049,0.0821,0.4152,1,1,0,False,False
5,1,0,0,1,0.3282,0.0049,0.0821,0.0821,1,0,-1,True,False
5,2,0,1,1,0.3282,0.0049,-0.0179,-0.0131,0,1,1,True,False
5,3,1,0,1,0.3282,0.1049,0.0821,0.4103,1,1,0,False,False
5,4,1,1,1,0.3282,0.1049,0.0821,0.5152,1,1,0,False,False
6,1,0,0,1,0.3282,0.1049,0.0821,0.0821,1,0,-1,True,False
6,2,0,1,1,0.3282,0.1049,-0.0179,0.0869,1,1,0,False,False
6,3,1,0,1,0.3282,0.1049,-0.0179,0.3103,1,1,0,False,False
6,4,1,1,1,0.3282,0.1049,-0.0179,0.4152,1,1,0,False,False
7,1,0,0,1,0.3282,0.1049,-0.0179,-0.0179,0,0,0,False,True
7,2,0,1,1,0.3282,0.1049,-0.0179,0.0869,1,1,0,False,True
7,3,1,0,1,0.3282,0.1049,-0.0179,0.3103,1,1,0,False,True
7,4,1,1,1,0.3282,0.1049,-0.0179,0.4152,1,1,0,False,True
