activation_output,bias_change,description,epoch,error,error_sum,final_error,from_neuron,gradient,input_0,input_1,loss_value,neuron_index,new_bias,new_weight,old_bias,old_weight,prediction,raw_error,sample_index,sigmoid_derivative,step_type,target,target_0,to_neuron,weight_change,weighted_sum
,,Processing sample 1 in epoch 1000,1000,,,,,,[0.],[1.],,,,,,,,,1,,sample_info,,[1.],,,
0.14386988753628843,,Hidden neuron 0 forward pass,,,,,,,,,,0,,,,,,,,,forward_hidden,,,,,[-1.78351303]
0.028346289770940846,,Hidden neuron 1 forward pass,,,,,,,,,,1,,,,,,,,,forward_hidden,,,,,[-3.53450333]
0.8844838274286799,,Output neuron 0 forward pass,,[0.11551617],,,,,,,,0,,,,,,,,,forward_output,[1.],,,,[2.03559369]
,,MSE loss calculation,,,,,,,,,0.013343986125527,,,,,,,,,,loss_calculation,,,,,
,,Output neuron 0 error calculation,,,,[0.01180254],,,,,,0,,,,,0.8844838274286799,[0.11551617],,0.10217218644579308,backprop_output_error,[1.],,,,
,,Hidden neuron 0 error calculation,,,[-0.07400467],[-0.00911525],,,,,,0,,,,,,,,0.12317134299658414,backprop_hidden_error,,,,,
,,Hidden neuron 1 error calculation,,,[-0.07550771],[-0.00207969],,,,,,1,,,,,,,,0.027542777627162698,backprop_hidden_error,,,,,
,,Weight update: input 0 -> hidden 0,,,,,0,[-0.],,,,,,[3.27502539],,[3.27502539],,,,,weight_update_input_hidden,,,0,[0.],
,,Weight update: input 0 -> hidden 1,,,,,0,[-0.],,,,,,[-5.22484167],,[-5.22484167],,,,,weight_update_input_hidden,,,1,[0.],
,,Weight update: input 1 -> hidden 0,,,,,1,[-0.00455763],,,,,,[3.25720277],,[3.2617604],,,,,weight_update_input_hidden,,,0,[-0.00455763],
,,Weight update: input 1 -> hidden 1,,,,,1,[-0.00103985],,,,,,[-5.23129652],,[-5.23025667],,,,,weight_update_input_hidden,,,1,[-0.00103985],
,,Weight update: hidden 0 -> output 0,,,,,0,[0.00084902],,,,,,[-6.26938318],,[-6.2702322],,,,,weight_update_hidden_output,,,0,[0.00084902],
,,Weight update: hidden 1 -> output 0,,,,,1,[0.00016728],,,,,,[-6.39741435],,[-6.39758163],,,,,weight_update_hidden_output,,,0,[0.00016728],
,[-0.00455763],Bias update: hidden neuron 0,,,,,,[-0.00455763],,,,0,[-5.04983106],,[-5.04527343],,,,,,bias_update_hidden,,,,,
,[-0.00103985],Bias update: hidden neuron 1,,,,,,[-0.00103985],,,,1,[1.6947135],,[1.69575335],,,,,,bias_update_hidden,,,,,
,[0.00590127],Bias update: output neuron 0,,,,,,[0.00590127],,,,0,[3.12494026],,[3.11903899],,,,,,bias_update_output,,,,,
