activation_output,bias_change,description,epoch,error,error_sum,final_error,from_neuron,gradient,input_0,input_1,loss_value,neuron_index,new_bias,new_weight,old_bias,old_weight,prediction,raw_error,sample_index,sigmoid_derivative,step_type,target,target_0,to_neuron,weight_change,weighted_sum
,,Processing sample 0 in epoch 4,4,,,,,,[0.],[0.],,,,,,,,,0,,sample_info,,[0.],,,
0.4988098215359942,,Hidden neuron 0 forward pass,,,,,,,,,,0,,,,,,,,,forward_hidden,,,,,[-0.00476072]
0.49942520264105666,,Hidden neuron 1 forward pass,,,,,,,,,,1,,,,,,,,,forward_hidden,,,,,[-0.00229919]
0.49712229871263197,,Output neuron 0 forward pass,,[-0.4971223],,,,,,,,0,,,,,,,,,forward_output,[0.],,,,[-0.01151093]
,,MSE loss calculation,,,,,,,,,0.24713057987733128,,,,,,,,,,loss_calculation,,,,,
,,Output neuron 0 error calculation,,,,[-0.12427646],,,,,,0,,,,,0.49712229871263197,[-0.4971223],,0.24999171883530066,backprop_output_error,[0.],,,,
,,Hidden neuron 0 error calculation,,,[0.01694842],[0.00423708],,,,,,0,,,,,,,,0.24999858347522383,backprop_hidden_error,,,,,
,,Hidden neuron 1 error calculation,,,[-0.01376509],[-0.00344127],,,,,,1,,,,,,,,0.2499996696079962,backprop_hidden_error,,,,,
,,Weight update: input 0 -> hidden 0,,,,,0,[0.],,,,,,[0.54766683],,[0.54766683],,,,,weight_update_input_hidden,,,0,[0.],
,,Weight update: input 0 -> hidden 1,,,,,0,[-0.],,,,,,[0.33372103],,[0.33372103],,,,,weight_update_input_hidden,,,1,[0.],
,,Weight update: input 1 -> hidden 0,,,,,1,[0.],,,,,,[0.61096276],,[0.61096276],,,,,weight_update_input_hidden,,,0,[0.],
,,Weight update: input 1 -> hidden 1,,,,,1,[-0.],,,,,,[0.92935647],,[0.92935647],,,,,weight_update_input_hidden,,,1,[0.],
,,Weight update: hidden 0 -> output 0,,,,,0,[-0.03099516],,,,,,[-0.16737192],,[-0.13637676],,,,,weight_update_hidden_output,,,0,[-0.03099516],
,,Weight update: hidden 1 -> output 0,,,,,1,[-0.0310334],,,,,,[0.07972842],,[0.11076182],,,,,weight_update_hidden_output,,,0,[-0.0310334],
,[0.00211854],Bias update: hidden neuron 0,,,,,,[0.00211854],,,,0,[-0.00264218],,[-0.00476072],,,,,,bias_update_hidden,,,,,
,[-0.00172063],Bias update: hidden neuron 1,,,,,,[-0.00172063],,,,1,[-0.00401982],,[-0.00229919],,,,,,bias_update_hidden,,,,,
,[-0.06213823],Bias update: output neuron 0,,,,,,[-0.06213823],,,,0,[-0.06094034],,[0.00119789],,,,,,bias_update_output,,,,,
