epoch,sample_idx,x1,x2,bias,w1,w2,w_bias,weighted_sum,predicted_output,expected_output,error,weight_updated,converged
1,1,0,0,1,-0.1066,-0.2751,-0.199,-0.199,0,0,0,False,False
1,2,0,1,1,-0.1066,-0.2751,-0.199,-0.4741,0,1,1,True,False
1,3,1,0,1,-0.1066,-0.1751,-0.099,-0.2056,0,1,1,True,False
1,4,1,1,1,-0.0066,-0.1751,0.001,-0.1807,0,1,1,True,False
2,1,0,0,1,0.0934,-0.0751,0.101,0.101,1,0,-1,True,False
2,2,0,1,1,0.0934,-0.0751,0.001,-0.0741,0,1,1,True,False
2,3,1,0,1,0.0934,0.0249,0.101,0.1944,1,1,0,False,False
2,4,1,1,1,0.0934,0.0249,0.101,0.2193,1,1,0,False,False
3,1,0,0,1,0.0934,0.0249,0.101,0.101,1,0,-1,True,False
3,2,0,1,1,0.0934,0.0249,0.001,0.0259,1,1,0,False,False
3,3,1,0,1,0.0934,0.0249,0.001,0.0944,1,1,0,False,False
3,4,1,1,1,0.0934,0.0249,0.001,0.1193,1,1,0,False,False
4,1,0,0,1,0.0934,0.0249,0.001,0.001,1,0,-1,True,False
4,2,0,1,1,0.0934,0.0249,-0.099,-0.0741,0,1,1,True,False
4,3,1,0,1,0.0934,0.1249,0.001,0.0944,1,1,0,False,False
4,4,1,1,1,0.0934,0.1249,0.001,0.2193,1,1,0,False,False
5,1,0,0,1,0.0934,0.1249,0.001,0.001,1,0,-1,True,False
5,2,0,1,1,0.0934,0.1249,-0.099,0.0259,1,1,0,False,False
5,3,1,0,1,0.0934,0.1249,-0.099,-0.0056,0,1,1,True,False
5,4,1,1,1,0.1934,0.1249,0.001,0.3193,1,1,0,False,False
6,1,0,0,1,0.1934,0.1249,0.001,0.001,1,0,-1,True,False
6,2,0,1,1,0.1934,0.1249,-0.099,0.0259,1,1,0,False,False
6,3,1,0,1,0.1934,0.1249,-0.099,0.0944,1,1,0,False,False
6,4,1,1,1,0.1934,0.1249,-0.099,0.2193,1,1,0,False,False
7,1,0,0,1,0.1934,0.1249,-0.099,-0.099,0,0,0,False,True
7,2,0,1,1,0.1934,0.1249,-0.099,0.0259,1,1,0,False,True
7,3,1,0,1,0.1934,0.1249,-0.099,0.0944,1,1,0,False,True
7,4,1,1,1,0.1934,0.1249,-0.099,0.2193,1,1,0,False,True
